"queue_rank","priority_score","gap_labels","review_segment","lead_id","company_name","customer_type","city_or_region","website","contact_data_level","primary_contact_method","contact_priority","recommended_action","official_contact_query","site_contact_query","form_query","kp_query","site_kp_query","public_linkedin_query","source_link"
"41","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0301","Corporate | Rydges Melbourne (CBD)","Final Customer","","https://rydges.com","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Corporate | Rydges Melbourne (CBD)"" Australia official contact","site:rydges.com contact OR enquiry OR suppliers","""Corporate | Rydges Melbourne (CBD)"" Australia contact form OR enquiry OR suppliers","""Corporate | Rydges Melbourne (CBD)"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:rydges.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Corporate | Rydges Melbourne (CBD)"" Australia director OR operations OR procurement","https://www.rydges.com/accommodation/melbourne-vic/melbourne-cbd/meetings-events/meetings"
"42","65","missing_kp_direct","Restaurant/Hotel Final Customer","AU-0212","Don Hodge Group","Final Customer","","https://dhg.net.au","","","","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Don Hodge Group"" Australia official contact","site:dhg.net.au contact OR enquiry OR suppliers","""Don Hodge Group"" Australia contact form OR enquiry OR suppliers","""Don Hodge Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:dhg.net.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Don Hodge Group"" Australia director OR operations OR procurement",""
"43","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0414","Explore Franchise Opportunities - Mad Mex","Final Customer","","https://madmex.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Explore Franchise Opportunities - Mad Mex"" Australia official contact","site:madmex.com.au contact OR enquiry OR suppliers","""Explore Franchise Opportunities - Mad Mex"" Australia contact form OR enquiry OR suppliers","""Explore Franchise Opportunities - Mad Mex"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:madmex.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Explore Franchise Opportunities - Mad Mex"" Australia director OR operations OR procurement","https://www.madmex.com.au/franchise"
"44","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0413","Franchising | Guzman y Gomez Mexican Kitchen | Find Out More","Final Customer","","https://guzmanygomez.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Franchising | Guzman y Gomez Mexican Kitchen | Find Out More"" Australia official contact","site:guzmanygomez.com.au contact OR enquiry OR suppliers","""Franchising | Guzman y Gomez Mexican Kitchen | Find Out More"" Australia contact form OR enquiry OR suppliers","""Franchising | Guzman y Gomez Mexican Kitchen | Find Out More"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:guzmanygomez.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Franchising | Guzman y Gomez Mexican Kitchen | Find Out More"" Australia director OR operations OR procurement","https://www.guzmanygomez.com.au/franchising"
"45","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0346","Francis Venues - Hospitality Management Group","Final Customer","","https://francisvenues.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Francis Venues - Hospitality Management Group"" Australia official contact","site:francisvenues.com.au contact OR enquiry OR suppliers","""Francis Venues - Hospitality Management Group"" Australia contact form OR enquiry OR suppliers","""Francis Venues - Hospitality Management Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:francisvenues.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Francis Venues - Hospitality Management Group"" Australia director OR operations OR procurement","https://francisvenues.com.au"
"46","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0286","Function Room &amp; Event Venue Hire South Melbourne — Albion Rooftop &amp; Club","Final Customer","","https://albionrooftop.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Function Room &amp; Event Venue Hire South Melbourne — Albion Rooftop &amp; Club"" Australia official contact","site:albionrooftop.com.au contact OR enquiry OR suppliers","""Function Room &amp; Event Venue Hire South Melbourne — Albion Rooftop &amp; Club"" Australia contact form OR enquiry OR suppliers","""Function Room &amp; Event Venue Hire South Melbourne — Albion Rooftop &amp; Club"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:albionrooftop.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Function Room &amp; Event Venue Hire South Melbourne — Albion Rooftop &amp; Club"" Australia director OR operations OR procurement","https://albionrooftop.com.au/function-venue-south-melbourne"
"47","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0309","Function Rooms &amp; Event Venues | Pier One Sydney Harbour","Final Customer","","https://pieronesydneyharbour.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Function Rooms &amp; Event Venues | Pier One Sydney Harbour"" Australia official contact","site:pieronesydneyharbour.com.au contact OR enquiry OR suppliers","""Function Rooms &amp; Event Venues | Pier One Sydney Harbour"" Australia contact form OR enquiry OR suppliers","""Function Rooms &amp; Event Venues | Pier One Sydney Harbour"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:pieronesydneyharbour.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Function Rooms &amp; Event Venues | Pier One Sydney Harbour"" Australia director OR operations OR procurement","https://www.pieronesydneyharbour.com.au/events"
"48","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0313","Function Venue Melbourne CBD | Event Space &amp; Venue Hire","Final Customer","","https://thegeorgeoncollins.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Function Venue Melbourne CBD | Event Space &amp; Venue Hire"" Australia official contact","site:thegeorgeoncollins.com.au contact OR enquiry OR suppliers","""Function Venue Melbourne CBD | Event Space &amp; Venue Hire"" Australia contact form OR enquiry OR suppliers","""Function Venue Melbourne CBD | Event Space &amp; Venue Hire"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thegeorgeoncollins.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Function Venue Melbourne CBD | Event Space &amp; Venue Hire"" Australia director OR operations OR procurement","https://www.thegeorgeoncollins.com.au/functions-venue-melbourne"
"49","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0253","Georges on Waymouth | Mediterranean Restaurant Adelaide","Final Customer","","https://georgesonwaymouth.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Georges on Waymouth | Mediterranean Restaurant Adelaide"" Australia official contact","site:georgesonwaymouth.com.au contact OR enquiry OR suppliers","""Georges on Waymouth | Mediterranean Restaurant Adelaide"" Australia contact form OR enquiry OR suppliers","""Georges on Waymouth | Mediterranean Restaurant Adelaide"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:georgesonwaymouth.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Georges on Waymouth | Mediterranean Restaurant Adelaide"" Australia director OR operations OR procurement","https://georgesonwaymouth.com.au"
"50","65","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0142","Grossi Hospitality","酒店餐饮集团/餐厅集团","Melbourne","https://www.grossi.com.au/","已识别关键人","公司邮箱","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Grossi Hospitality"" Australia official contact","site:grossi.com.au contact OR enquiry OR suppliers","""Grossi Hospitality"" Australia contact form OR enquiry OR suppliers","""Grossi Hospitality"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:grossi.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Grossi Hospitality"" Australia director OR operations OR procurement","https://www.grossi.com.au/contact"
"51","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0335","HOME - The Venue Alexandria","Final Customer","","https://thevenuealexandria.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""HOME - The Venue Alexandria"" Australia official contact","site:thevenuealexandria.com.au contact OR enquiry OR suppliers","""HOME - The Venue Alexandria"" Australia contact form OR enquiry OR suppliers","""HOME - The Venue Alexandria"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thevenuealexandria.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""HOME - The Venue Alexandria"" Australia director OR operations OR procurement","https://thevenuealexandria.com.au"
"52","65","missing_kp_direct","Restaurant/Hotel Final Customer","AU-0210","Hurley Hotel Group","Final Customer","","https://hurleyhotelgroup.com.au","","","","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Hurley Hotel Group"" Australia official contact","site:hurleyhotelgroup.com.au contact OR enquiry OR suppliers","""Hurley Hotel Group"" Australia contact form OR enquiry OR suppliers","""Hurley Hotel Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:hurleyhotelgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Hurley Hotel Group"" Australia director OR operations OR procurement",""
"53","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0258","La Vie Hospitality Group – The Life and Soul of Hospitality.","Final Customer","","https://laviehospitalitygroup.com","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""La Vie Hospitality Group – The Life and Soul of Hospitality."" Australia official contact","site:laviehospitalitygroup.com contact OR enquiry OR suppliers","""La Vie Hospitality Group – The Life and Soul of Hospitality."" Australia contact form OR enquiry OR suppliers","""La Vie Hospitality Group – The Life and Soul of Hospitality."" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:laviehospitalitygroup.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""La Vie Hospitality Group – The Life and Soul of Hospitality."" Australia director OR operations OR procurement","https://www.laviehospitalitygroup.com"
"54","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0282","Laundy Hotels | Award-Winning Hospitality Group","Final Customer","","https://laundy.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Laundy Hotels | Award-Winning Hospitality Group"" Australia official contact","site:laundy.com.au contact OR enquiry OR suppliers","""Laundy Hotels | Award-Winning Hospitality Group"" Australia contact form OR enquiry OR suppliers","""Laundy Hotels | Award-Winning Hospitality Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:laundy.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Laundy Hotels | Award-Winning Hospitality Group"" Australia director OR operations OR procurement","https://laundy.com.au"
"55","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","LEAD-0199","Lavacoffee","Final Customer","","https://lavacoffee.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Lavacoffee"" Australia official contact","site:lavacoffee.com.au contact OR enquiry OR suppliers","""Lavacoffee"" Australia contact form OR enquiry OR suppliers","""Lavacoffee"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:lavacoffee.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Lavacoffee"" Australia director OR operations OR procurement","https://lavacoffee.com.au"
"56","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0276","Marlow Hotel Group","Final Customer","","https://marlowhotelgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Marlow Hotel Group"" Australia official contact","site:marlowhotelgroup.com.au contact OR enquiry OR suppliers","""Marlow Hotel Group"" Australia contact form OR enquiry OR suppliers","""Marlow Hotel Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:marlowhotelgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Marlow Hotel Group"" Australia director OR operations OR procurement","https://www.marlowhotelgroup.com.au"
"57","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0331","Melbourne Catering Co","Final Customer","","https://melbournecateringco.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Melbourne Catering Co"" Australia official contact","site:melbournecateringco.com.au contact OR enquiry OR suppliers","""Melbourne Catering Co"" Australia contact form OR enquiry OR suppliers","""Melbourne Catering Co"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:melbournecateringco.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Melbourne Catering Co"" Australia director OR operations OR procurement","https://www.melbournecateringco.com.au"
"58","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0328","Melbourne Catering | Devour It Catering","Final Customer","","https://devouritcatering.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Melbourne Catering | Devour It Catering"" Australia official contact","site:devouritcatering.com.au contact OR enquiry OR suppliers","""Melbourne Catering | Devour It Catering"" Australia contact form OR enquiry OR suppliers","""Melbourne Catering | Devour It Catering"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:devouritcatering.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Melbourne Catering | Devour It Catering"" Australia director OR operations OR procurement","https://devouritcatering.com.au"
"59","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0270","Oaks Hotels, Resorts &amp; Suites","Final Customer","","https://oakshotels.com","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Oaks Hotels, Resorts &amp; Suites"" Australia official contact","site:oakshotels.com contact OR enquiry OR suppliers","""Oaks Hotels, Resorts &amp; Suites"" Australia contact form OR enquiry OR suppliers","""Oaks Hotels, Resorts &amp; Suites"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:oakshotels.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Oaks Hotels, Resorts &amp; Suites"" Australia director OR operations OR procurement","https://www.oakshotels.com/en/contact-oaks-hotels"
"60","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0274","OUR PEOPLE","Final Customer","","https://welcomehospitality.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""OUR PEOPLE"" Australia official contact","site:welcomehospitality.com.au contact OR enquiry OR suppliers","""OUR PEOPLE"" Australia contact form OR enquiry OR suppliers","""OUR PEOPLE"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:welcomehospitality.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""OUR PEOPLE"" Australia director OR operations OR procurement","https://www.welcomehospitality.com.au/our-people"
"61","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","LEAD-0200","Parkergroup","Final Customer","","https://www.parkergroup.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Parkergroup"" Australia official contact","site:parkergroup.au contact OR enquiry OR suppliers","""Parkergroup"" Australia contact form OR enquiry OR suppliers","""Parkergroup"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:parkergroup.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Parkergroup"" Australia director OR operations OR procurement","https://www.parkergroup.au/contact"
"62","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0312","Private Event Venue in Melbourne | The Stone Hotel Fitzroy","Final Customer","","https://thestonehotel.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Private Event Venue in Melbourne | The Stone Hotel Fitzroy"" Australia official contact","site:thestonehotel.com.au contact OR enquiry OR suppliers","""Private Event Venue in Melbourne | The Stone Hotel Fitzroy"" Australia contact form OR enquiry OR suppliers","""Private Event Venue in Melbourne | The Stone Hotel Fitzroy"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thestonehotel.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Private Event Venue in Melbourne | The Stone Hotel Fitzroy"" Australia director OR operations OR procurement","https://thestonehotel.com.au/functions-events/private"
"63","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0287","PubCo Group","Final Customer","","https://pubcogroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""PubCo Group"" Australia official contact","site:pubcogroup.com.au contact OR enquiry OR suppliers","""PubCo Group"" Australia contact form OR enquiry OR suppliers","""PubCo Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:pubcogroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""PubCo Group"" Australia director OR operations OR procurement","http://www.pubcogroup.com.au"
"64","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0278","Reilly Group","Final Customer","","https://reillygroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Reilly Group"" Australia official contact","site:reillygroup.com.au contact OR enquiry OR suppliers","""Reilly Group"" Australia contact form OR enquiry OR suppliers","""Reilly Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:reillygroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Reilly Group"" Australia director OR operations OR procurement","https://www.reillygroup.com.au/about"
"65","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","Final Customer","","https://thewinerysurryhills.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW"" Australia official contact","site:thewinerysurryhills.com.au contact OR enquiry OR suppliers","""Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW"" Australia contact form OR enquiry OR suppliers","""Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thewinerysurryhills.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW"" Australia director OR operations OR procurement","https://thewinerysurryhills.com.au"
"66","65","missing_kp_direct","Restaurant/Hotel Final Customer","AU-0204","Reward Hospitality","Final Customer","","https://rewardhospitality.com.au","","","","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Reward Hospitality"" Australia official contact","site:rewardhospitality.com.au contact OR enquiry OR suppliers","""Reward Hospitality"" Australia contact form OR enquiry OR suppliers","""Reward Hospitality"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:rewardhospitality.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Reward Hospitality"" Australia director OR operations OR procurement",""
"67","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0284","RMH Functions | Melbourne Venue","Final Customer","","https://rmh.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""RMH Functions | Melbourne Venue"" Australia official contact","site:rmh.com.au contact OR enquiry OR suppliers","""RMH Functions | Melbourne Venue"" Australia contact form OR enquiry OR suppliers","""RMH Functions | Melbourne Venue"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:rmh.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""RMH Functions | Melbourne Venue"" Australia director OR operations OR procurement","https://www.rmh.com.au/functions"
"68","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0347","Sand Hill Road","Final Customer","","https://sandhillroad.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Sand Hill Road"" Australia official contact","site:sandhillroad.com.au contact OR enquiry OR suppliers","""Sand Hill Road"" Australia contact form OR enquiry OR suppliers","""Sand Hill Road"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:sandhillroad.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Sand Hill Road"" Australia director OR operations OR procurement","https://www.sandhillroad.com.au"
"69","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0355","Senior management - Crown Resorts","Final Customer","","https://crownresorts.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Senior management - Crown Resorts"" Australia official contact","site:crownresorts.com.au contact OR enquiry OR suppliers","""Senior management - Crown Resorts"" Australia contact form OR enquiry OR suppliers","""Senior management - Crown Resorts"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:crownresorts.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Senior management - Crown Resorts"" Australia director OR operations OR procurement","https://www.crownresorts.com.au/about-us/senior-management"
"70","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0314","Serenity Venue","Final Customer","","https://serenityvenue.com","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Serenity Venue"" Australia official contact","site:serenityvenue.com contact OR enquiry OR suppliers","""Serenity Venue"" Australia contact form OR enquiry OR suppliers","""Serenity Venue"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:serenityvenue.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Serenity Venue"" Australia director OR operations OR procurement","https://serenityvenue.com"
"71","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0327","Social Catering Co • Melbourne's Catering Company","Final Customer","","https://socialcateringco.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Social Catering Co • Melbourne's Catering Company"" Australia official contact","site:socialcateringco.com.au contact OR enquiry OR suppliers","""Social Catering Co • Melbourne's Catering Company"" Australia contact form OR enquiry OR suppliers","""Social Catering Co • Melbourne's Catering Company"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:socialcateringco.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Social Catering Co • Melbourne's Catering Company"" Australia director OR operations OR procurement","https://www.socialcateringco.com.au"
"72","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0445","Southern Cross Motel Group - Regional Accommodation","Final Customer","","https://southerncrossmotelgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Southern Cross Motel Group - Regional Accommodation"" Australia official contact","site:southerncrossmotelgroup.com.au contact OR enquiry OR suppliers","""Southern Cross Motel Group - Regional Accommodation"" Australia contact form OR enquiry OR suppliers","""Southern Cross Motel Group - Regional Accommodation"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:southerncrossmotelgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Southern Cross Motel Group - Regional Accommodation"" Australia director OR operations OR procurement","https://southerncrossmotelgroup.com.au"
"73","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0357","Staff Stories in Island Paradise, Whitsundays | Hamilton Island","Final Customer","","https://hamiltonisland.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Staff Stories in Island Paradise, Whitsundays | Hamilton Island"" Australia official contact","site:hamiltonisland.com.au contact OR enquiry OR suppliers","""Staff Stories in Island Paradise, Whitsundays | Hamilton Island"" Australia contact form OR enquiry OR suppliers","""Staff Stories in Island Paradise, Whitsundays | Hamilton Island"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:hamiltonisland.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Staff Stories in Island Paradise, Whitsundays | Hamilton Island"" Australia director OR operations OR procurement","https://www.hamiltonisland.com.au/careers/hamilton-island-executive-team"
"74","65","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0164","Taverners Group","餐厅集团","Melbourne","https://www.tavernersgroup.com/","仅公司级联系","联系表单","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Taverners Group"" Australia official contact","site:tavernersgroup.com contact OR enquiry OR suppliers","""Taverners Group"" Australia contact form OR enquiry OR suppliers","""Taverners Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:tavernersgroup.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Taverners Group"" Australia director OR operations OR procurement","https://www.tavernersgroup.com/contact-us"
"75","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0200","Tenfold Hospitality Group","Final Customer","","https://tenfoldhospitality.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Tenfold Hospitality Group"" Australia official contact","site:tenfoldhospitality.com.au contact OR enquiry OR suppliers","""Tenfold Hospitality Group"" Australia contact form OR enquiry OR suppliers","""Tenfold Hospitality Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:tenfoldhospitality.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Tenfold Hospitality Group"" Australia director OR operations OR procurement",""
"76","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0339","The Hotel Network - Procurement Managers","Final Customer","","https://hotelnetwork.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""The Hotel Network - Procurement Managers"" Australia official contact","site:hotelnetwork.com.au contact OR enquiry OR suppliers","""The Hotel Network - Procurement Managers"" Australia contact form OR enquiry OR suppliers","""The Hotel Network - Procurement Managers"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:hotelnetwork.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""The Hotel Network - Procurement Managers"" Australia director OR operations OR procurement","https://www.hotelnetwork.com.au/customers/procurement-managers"
"77","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0217","The Lane Vineyard","Final Customer","","https://thelane.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""The Lane Vineyard"" Australia official contact","site:thelane.com.au contact OR enquiry OR suppliers","""The Lane Vineyard"" Australia contact form OR enquiry OR suppliers","""The Lane Vineyard"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thelane.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""The Lane Vineyard"" Australia director OR operations OR procurement",""
"78","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0279","The Pub Group","Final Customer","","https://thepubgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""The Pub Group"" Australia official contact","site:thepubgroup.com.au contact OR enquiry OR suppliers","""The Pub Group"" Australia contact form OR enquiry OR suppliers","""The Pub Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thepubgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""The Pub Group"" Australia director OR operations OR procurement","https://www.thepubgroup.com.au/contact"
"79","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0198","Tony Kelly Restaurant Group","Final Customer","","https://tkrg.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Tony Kelly Restaurant Group"" Australia official contact","site:tkrg.com.au contact OR enquiry OR suppliers","""Tony Kelly Restaurant Group"" Australia contact form OR enquiry OR suppliers","""Tony Kelly Restaurant Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:tkrg.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Tony Kelly Restaurant Group"" Australia director OR operations OR procurement",""
"80","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","Final Customer","","https://salterbrothers.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Triguboff, followed by Salter Brothers as no.1 hotel owners"" Australia official contact","site:salterbrothers.com.au contact OR enquiry OR suppliers","""Triguboff, followed by Salter Brothers as no.1 hotel owners"" Australia contact form OR enquiry OR suppliers","""Triguboff, followed by Salter Brothers as no.1 hotel owners"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:salterbrothers.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Triguboff, followed by Salter Brothers as no.1 hotel owners"" Australia director OR operations OR procurement","https://salterbrothers.com.au/harry-triguboff-australias-no-1-hotel-owner-followed-by-melbournes-salter-brothers"
